# Temporary trajectory realization generation debug export
# RealizationNumberOneBased	21
# RealizationIndexZeroBased	20
# NormalizedGaussian	0.77762773192494916	-0.21829115994370557	-0.40452649651302192
Stage	StationIndex	CandidateIndex	Selected	SmoothnessScore	ReferenceMD	ReferenceIncl	ReferenceAz	ReferenceX	ReferenceY	ReferenceZ	MD	Abscissa	Incl	Az	X	Y	Z	TVD	North	East	DLS	BUR	TUR	VSect
raw-covariance-spherical-candidate	2	4	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.520717714	328657.42718897475	-49.283385118228615	-49.283385118228615	6535283.520717714	328657.42718897475				
incremental-md-incl-az-candidate	2	4	False	1.643236218307198E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.280220274233663	-49.280220274233663	0.021283703546561134	5.8377263433564162	6535283.520717714	328657.42718897475	-49.283385118228615	-49.283385118228615	6535283.520717714	328657.42718897475	0.00050772460365479757	0.00050772460365479757	0	0.4460872421828368
raw-covariance-spherical-candidate	2	5	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.4893391468	328657.37027352693	-49.161862423468584	-49.161862423468584	6535283.4893391468	328657.37027352693				
incremental-md-incl-az-candidate	2	5	False	1.6334456945155118E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.158693409934415	-49.158693409934415	0.021266914267539922	5.692072316708046	6535283.4893391468	328657.37027352693	-49.161862423468584	-49.161862423468584	6535283.4893391468	328657.37027352693	0.00050585759560016431	0.00050585759560016431	0	0.44702758256491909
raw-covariance-spherical-candidate	2	6	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.3205868769	328657.54134158889	-49.160067555783037	-49.160067555783037	6535283.3205868769	328657.54134158889				
incremental-md-incl-az-candidate	2	6	False	1.6337514745168313E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.159321159422475	-49.159321159422475	0.010321116455136291	5.9151574537476401	6535283.3205868769	328657.54134158889	-49.160067555783037	-49.160067555783037	6535283.3205868769	328657.54134158889	0.00024550308748046151	0.00024550308748046151	0	0.21695144516784462
raw-covariance-spherical-candidate	2	7	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.5215366948	328657.42672183673	-49.161862423468854	-49.161862423468854	6535283.5215366948	328657.42672183673				
incremental-md-incl-az-candidate	2	7	False	1.6334457010103165E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.158693409926045	-49.158693409926045	0.021266914296943565	5.8375727178612413	6535283.5215366948	328657.42672183673	-49.161862423468854	-49.161862423468854	6535283.5215366948	328657.42672183673	0.00050585759629946246	0.00050585759629946246	0	0.44702758317316532
incremental-md-incl-az-candidate-selected	2	5	True	1.6334456945155118E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.158693409934415	-49.158693409934415	0.021266914267539922	5.692072316708046	6535283.4893391468	328657.37027352693	-49.161862423468584	-49.161862423468584	6535283.4893391468	328657.37027352693	0.00050585759560016431	0.00050585759560016431	0	0.44702758256491909
incremental-md-incl-az-selected	2		True	0.0010117572317146519	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.158693409934415	-49.158693409934415	0.021266914267539922	5.692072316708046	6535283.4893391468	328657.37027352693	-49.161862423468584	-49.161862423468584	6535283.4893391468	328657.37027352693	0.00050585759560016431	0.00050585759560016431	0	0.44702758256491909
raw-covariance-spherical-candidate	3	0	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.9434392685	328656.93540494505	0.63999521654991043	0.63999521654991043	6535283.9434392685	328656.93540494505				
